Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
cdk-postgres,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-prometheus,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-redb,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-signatory,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-sql-common,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-sqlite,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-supabase,rust,Misc & Everything Else,1.0,,cashubtc/cdk
chai,js,Testing & QA,1.0,,cashubtc/cashu-redeem
chai-as-promised,js,Misc & Everything Else,1.0,,cashubtc/cashu-redeem
charset-normalizer,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
chartjs-adapter-luxon,js,Misc & Everything Else,1.0,,cashubtc/orchard
chartjs-plugin-annotation,js,Misc & Everything Else,1.0,,cashubtc/orchard
cln-rpc,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
coincurve,py,Misc & Everything Else,1.0,,cashubtc/nutshell
collection,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
comlink,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
concurrent_limiter,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
connectivity_plus,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
console-subscriber,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
const_format,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
core-js,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
cors_plug,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
covertool,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
cowlib,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
credo,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
crossbeam-channel,rust,Misc & Everything Else,1.0,,andotherstuff/pensieve
crossterm,rust,Misc & Everything Else,1.0,,marmot-protocol/wn-tui
crypto,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
crypto-js,js,Security & Privacy,1.0,,cashubtc/eNuts
cryptography,py,Misc & Everything Else,1.0,,cashubtc/nutshell
cssnano,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
csv,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ctrlc,rust,Misc & Everything Else,1.0,,andotherstuff/pensieve
cupertino_icons,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
d3-hierarchy,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
daisyui,js,Misc & Everything Else,1.0,,marmot-protocol/nostr-doctor
dashmap,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
db-annotate,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
decimal.js,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
deprecated,py,Misc & Everything Else,1.0,,cashubtc/nutshell
detect-passive-events,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
detox,js,Misc & Everything Else,1.0,,cashubtc/eNuts
dexie,js,Databases & Storage,1.0,,cashubtc/cashu.me
dompurify,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
earmark,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ecto_enum,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ecto_psql_extras,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ecto_sql,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ed25519-dalek,rust,Security & Privacy,1.0,,marmot-protocol/nostr-openmls
electron,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
emoji-regex,js,Misc & Everything Else,1.0,,andotherstuff/universes-legacy
emoji_picker_flutter,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
emojilib,js,Misc & Everything Else,1.0,,andotherstuff/universes-legacy
es-toolkit,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
esbuild-wasm,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
eslint-plugin-compat,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
eslint-plugin-deprecate,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
eslint-plugin-formatjs,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
eslint-plugin-json,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
eslint-plugin-jsx-a11y,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
eslint-plugin-node,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
eslint-plugin-simple-import-sort,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
eslint-plugin-tailwindcss,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
eslint-plugin-tsdoc,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
eslint-plugin-vue,js,Dev Environment & Tooling,1.0,,cashubtc/cashu.me
eventemitter3,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-ts
ex_aws,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ex_aws_s3,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ex_const,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ex_doc,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ex_machina,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ex_syslogger,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
exceptiongroup,py,Misc & Everything Else,1.0,,cashubtc/nutshell
exifr,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
expo,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-application,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-camera,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-clipboard,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-constants,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-crypto,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-device,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-file-system,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-image,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-insights,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-localization,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-secure-store,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-splash-screen,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-sqlite,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-status-bar,js,Misc & Everything Else,1.0,,cashubtc/eNuts
expo-updates,js,Misc & Everything Else,1.0,,cashubtc/eNuts
fake-indexeddb,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
fast-thumbhash,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
fast_sanitize,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ffi,dart,Misc & Everything Else,1.0,,cashubtc/cdk-flutter
ffigen,dart,Misc & Everything Else,1.0,,cashubtc/cdk-flutter
fflate,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
finch,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
fix,js,Misc & Everything Else,1.0,,cashubtc/eNuts
flake_id,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
floki,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
flutter_blurhash,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_foreground_task,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_hooks,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_local_notifications,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_localizations,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_native_splash,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_riverpod,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_screenutil,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_secure_storage,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_secure_storage_platform_interface,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
flutter_svg,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
focus-visible,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
foreman,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
fugit,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
funnel-clickhouse,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
funnel-observability,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
funnel-proto,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
fuse.js,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
future,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
gap,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
gasp,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
gen_smtp,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
geospatial,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
gettext,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
github.com/aead/siphash,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcd,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcd/btcec/v2,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcd/btcutil,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcd/btcutil/psbt,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcd/chaincfg/chainhash,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btclog,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet/wallet/txauthor,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet/wallet/txrules,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet/wallet/txsizes,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet/walletdb,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/btcwallet/wtxmgr,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/go-socks,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/btcsuite/websocket,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/BurntSushi/toml,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/c-bata/go-prompt,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/caarlos0/env/v6,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/davecgh/go-spew,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/decred/dcrd/crypto/blake256,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/decred/dcrd/dcrec/secp256k1/v4,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/decred/dcrd/lru,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/fatih/structs,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/go-errors/errors,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/go-openapi/jsonpointer,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/go-openapi/jsonreference,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/go-openapi/spec,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/go-openapi/swag,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/google/uuid,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/gorilla/mux,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/imroc/req,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/inconshreveable/mousetrap,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/jinzhu/configor,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/jinzhu/inflection,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/jinzhu/now,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/joho/godotenv,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/josharian/intern,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/json-iterator/go,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/kkdai/bstream,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/kr/pretty,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/KyleBanks/depth,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightninglabs/gozmq,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightninglabs/neutrino,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd/clock,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd/queue,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd/ticker,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd/tlv,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/lightningnetwork/lnd/tor,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/magefile/mage,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mailru/easyjson,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mattn/go-colorable,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mattn/go-isatty,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mattn/go-runewidth,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mattn/go-sqlite3,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/mattn/go-tty,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/miekg/dns,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/modern-go/reflect2,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/nbd-wtf/ln-decodepay,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/pkg/term,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/rivo/uniseg,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/samber/lo,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/sirupsen/logrus,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/spf13/cobra,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/spf13/pflag,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/stretchr/testify,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/swaggo/files,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/swaggo/http-swagger,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
github.com/swaggo/swag,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
glob,js,Misc & Everything Else,1.0,,soapbox-pub/nostrify
go.elastic.co/ecslogrus,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
go.etcd.io/etcd/api/v3,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
go.etcd.io/etcd/client/pkg/v3,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
go.etcd.io/etcd/client/v2,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
go.etcd.io/etcd/client/v3,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
go_router,dart,Frameworks & Libraries,1.0,,marmot-protocol/whitenoise
golang.org/x/crypto,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/exp,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/net,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/sys,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/term,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/tools,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
golang.org/x/xerrors,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
google.golang.org/genproto,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
google.golang.org/grpc,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
googleapis-common-protos,py,Misc & Everything Else,1.0,,cashubtc/nutshell
gopkg.in/natefinch/lumberjack.v2,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
gopkg.in/yaml.v2,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
gorm.io/driver/sqlite,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
gorm.io/gorm,go,Misc & Everything Else,1.0,,cashubtc/cashu-feni
governor,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
grammy,js,Misc & Everything Else,1.0,,cashubtc/orchard
graphemesplit,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
graphql-request,js,Misc & Everything Else,1.0,,cashubtc/npubcash-server
graphql-subscriptions,js,Misc & Everything Else,1.0,,cashubtc/orchard
graphql-tools,js,Misc & Everything Else,1.0,,cashubtc/orchard
graphql-ws,js,Misc & Everything Else,1.0,,cashubtc/orchard
gray-matter,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
greenlet,py,Misc & Everything Else,1.0,,cashubtc/nutshell
grpcio,py,Misc & Everything Else,1.0,,cashubtc/nutshell
grpcio-tools,py,Misc & Everything Else,1.0,,cashubtc/nutshell
gsap,js,Frameworks & Libraries,1.0,,cashubtc/docs.cashu.space
gsap-trial,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
gun,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
hackney,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
happy-dom,js,Testing & QA,1.0,,cashubtc/cashu.me
heed,rust,Misc & Everything Else,1.0,,marmot-protocol/openmls-lmdb-storage
hls.js,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
home,rust,Misc & Everything Else,1.0,,cashubtc/cdk
hooks_riverpod,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
html-react-parser,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
html-to-image,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
html_entities,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
http,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
http-link-header,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
http_signatures,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
httpcore,py,Misc & Everything Else,1.0,,cashubtc/nutshell
httpx,py,Hosting Infra & Deploy,1.0,,cashubtc/nutshell
hyper,rust,Hosting Infra & Deploy,1.0,,andotherstuff/nostr-rs-relay
hyper-rustls,rust,Hosting Infra & Deploy,1.0,,andotherstuff/nostr-rs-relay
ical,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
ical.js,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
icalendar,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ignore,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
image_picker,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
image_picker_platform_interface,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
image_processing,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
immer,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
immutable,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
importmap-rails,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
indexmap,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
infer,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
iniconfig,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
integration_test,dart,Misc & Everything Else,1.0,,cashubtc/cdk-flutter
intl,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
intl-messageformat,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
intl-pluralrules,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
iso-639-1,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
isomorphic-dompurify,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
isomorphic-git,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
jasmine-core,js,Testing & QA,1.0,,cashubtc/orchard
jason,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
jbuilder,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
jdenticon,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
jest-expo,js,Testing & QA,1.0,,cashubtc/eNuts
jinja2,py,Misc & Everything Else,1.0,,cashubtc/nutshell
joken,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
jsonc-parser,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
jszip,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
junit:junit,kotlin,Misc & Everything Else,1.0,,marmot-protocol/mdk-kotlin
kamadak-exif,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
kamal,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
karma,js,Testing & QA,1.0,,cashubtc/orchard
karma-chrome-launcher,js,Testing & QA,1.0,,cashubtc/orchard
karma-coverage,js,Testing & QA,1.0,,cashubtc/orchard
karma-jasmine,js,Testing & QA,1.0,,cashubtc/orchard
karma-jasmine-html-reporter,js,Testing & QA,1.0,,cashubtc/orchard
lazy_static,rust,Frameworks & Libraries,1.0,,andotherstuff/nostr-rs-relay
ldk-node,rust,Bitcoin Lightning Nostr,1.0,,cashubtc/cdk
leaflet,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
lerna,js,Dev Environment & Tooling,1.0,,soapbox-pub/nostrify
lexical,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
libc,rust,Misc & Everything Else,1.0,,marmot-protocol/nostr-openmls
lightning,rust,Bitcoin Lightning Nostr,1.0,,cashubtc/cdk
lightning-invoice,rust,Bitcoin Lightning Nostr,1.0,,cashubtc/cdk
limits,py,Misc & Everything Else,1.0,,cashubtc/nutshell
line-awesome,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
linkify,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
logging,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
lottie-react-native,js,Frameworks & Libraries,1.0,,cashubtc/eNuts
lru-cache,js,Misc & Everything Else,1.0,,soapbox-pub/nostrify
lucide-vue-next,js,Frameworks & Libraries,1.0,,cashubtc/cashu.me
luxon,js,Frameworks & Libraries,1.0,,cashubtc/orchard
macholib,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
majic,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
markupsafe,py,Misc & Everything Else,1.0,,cashubtc/nutshell
match-sorter,js,Misc & Everything Else,1.0,,cashubtc/npubcash-website
matter-js,js,Misc & Everything Else,1.0,,cashubtc/nut-november
maud,rust,Misc & Everything Else,1.0,,cashubtc/cdk
mdast-util-to-string,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
mdk-macros,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
mdk-memory-storage,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
mdx-annotations,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
metro-config,js,Misc & Everything Else,1.0,,cashubtc/eNuts
mini-css-extract-plugin,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
mnemonic,py,Misc & Everything Else,1.0,,cashubtc/nutshell
mobile_scanner,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
mocha,js,Testing & QA,1.0,,cashubtc/cashu-redeem
mock,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
mockall,rust,Testing & QA,1.0,,andotherstuff/funnel
mockito,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
mogrify,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
motion,js,Frameworks & Libraries,1.0,,cashubtc/cashu-redeem
mox,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
msw,js,Testing & QA,1.0,,cashubtc/cashu-ts
mypy-protobuf,py,Dev Environment & Tooling,1.0,,cashubtc/nutshell
net.java.dev.jna:jna,kotlin,Misc & Everything Else,1.0,,marmot-protocol/mdk-kotlin
ng2-charts,js,Misc & Everything Else,1.0,,cashubtc/orchard
node-pg-migrate,js,Misc & Everything Else,1.0,,cashubtc/npubcash-server
nonzero_ext,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
nostr-blossom,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
nostr-relay-builder,rust,Misc & Everything Else,1.0,,marmot-protocol/transponder
nostr-wasm,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
nostr_sdk,py,Bitcoin Lightning Nostr,1.0,,marmot-protocol/mdk-python-example
num_cpus,rust,Frameworks & Libraries,1.0,,andotherstuff/pensieve
nunjucks,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
oban,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
oembed_providers,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
once_cell,rust,Frameworks & Libraries,1.0,,cashubtc/cdk
open_api_spex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
openai,js,AI & Agents,1.0,,soapbox-pub/shakespeare
openmls-sled-storage,rust,Security & Privacy,1.0,,marmot-protocol/nostr-openmls
org.jetbrains.kotlinx:kotlinx-coroutines-core,kotlin,Frameworks & Libraries,1.0,,marmot-protocol/mdk-kotlin
outcome,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
p256,rust,Misc & Everything Else,1.0,,marmot-protocol/nostr-openmls
package_info_plus,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
parse_duration,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
passport,js,Auth Identity & Keys,1.0,,cashubtc/orchard
passport-jwt,js,Auth Identity & Keys,1.0,,cashubtc/orchard
pastey,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
path_provider,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
pefile,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
permission_handler,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
phoenix,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_ecto,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_html,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_live_dashboard,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_live_reload,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_live_view,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_pubsub,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
phoenix_swoosh,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
pinia,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
plug_cowboy,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
